INSTNM,STABBR,year,earnings_med,count_not_working,count_working
Western Intertiol University,AZ,2007,59800,34,299
Empire Beauty School-NW Phoenix,AZ,2007,23200,22,91
Yavapai College,AZ,2007,31300,215,792
University of Arkansas at Little Rock,AR,2007,36900,306,2021
University of Arkansas for Medical Sciences,AR,2007,65500,18,329
ABC Beauty College Inc,AR,2007,0,13,35
Arkansas Baptist College,AR,2007,19500,19,94
Arkansas Beauty School-Little Rock,AR,2007,0,5,34
Lyon College,AR,2007,37000,14,145
Arkansas College of Barbering and Hair Design,AR,2007,15000,25,80
Arthur's Beauty College Inc-Fort Smith,AR,2007,15100,12,59
University of Arkansas,AR,2007,43400,308,2855
University of Arkansas at Pine Bluff,AR,2007,29200,129,1026
Arkansas State University-Beebe,AR,2007,27300,33,183
Arkansas State University-Main Campus,AR,2007,34300,456,3327
Arkansas Tech University,AR,2007,36300,134,1134
University of Arkansas at Monticello,AR,2007,33100,97,764
Arthur's Beauty College Inc-Jacksonville,AR,2007,0,0,0
Baptist Health College-Little Rock,AR,2007,48900,8,95
Bee Jays Academy,AR,2007,0,3,22
Black River Technical College,AR,2007,27500,61,271
University of Central Arkansas,AR,2007,39200,232,2070
Central Baptist College,AR,2007,29800,23,141
Blytheville Academy of Cosmetology,AR,2007,0,0,0
Cossatot Community College of the University of Arkansas,AR,2007,23600,42,237
Crowley's Ridge College,AR,2007,25800,18,103
Crowley's Ridge Technical Institute,AR,2007,18600,40,164
De Luxe Beauty School,AR,2007,0,7,35
East Arkansas Community College,AR,2007,22600,79,423
Eastern College of Health Vocations-Little Rock,AR,2007,19600,125,588
tiol Park College,AR,2007,27900,102,440
University of Arkansas Community College-Batesville,AR,2007,23100,82,294
Harding University,AR,2007,39900,177,1145
Henderson State University,AR,2007,35300,101,1073
Hendrix College,AR,2007,41800,36,261
Hot Springs Beauty College,AR,2007,15100,18,72
Jefferson Regiol Medical Center School of Nursing,AR,2007,0,3,44
John Brown University,AR,2007,46700,62,486
Lees School of Cosmetology,AR,2007,0,18,32
Career Academy of Hair Design,AR,2007,0,8,27
Marsha Kay Beauty College,AR,2007,0,0,0
Academy of Salon and Spa,AR,2007,0,0,0
Arkansas State University Mid-South,AR,2007,24200,60,247
Arkansas Northeastern College,AR,2007,25300,108,480
Margaret's Hair Academy Inc,AR,2007,0,0,0
New Tyler Barber College Inc,AR,2007,15600,20,74
North Arkansas College,AR,2007,29400,127,489
Northwest Technical Institute,AR,2007,27800,38,120
Ouachita Baptist University,AR,2007,39400,49,469
College of the Ouachitas,AR,2007,23500,28,198
Ozarka College,AR,2007,26700,54,228
University of the Ozarks,AR,2007,34000,24,159
University of Arkansas Community College-Morrilton,AR,2007,24700,45,205
Philander Smith College,AR,2007,27700,37,293
Phillips Community College of the University of Arkansas,AR,2007,20400,117,562
Southeast Arkansas College,AR,2007,29900,58,367
Professiol Cosmetology Education Center,AR,2007,0,5,30
University of Arkansas-Pulaski Technical College,AR,2007,27300,134,731
University of Arkansas Community College-Hope,AR,2007,21800,121,614
University of Arkansas Community College Rich Mountain,AR,2007,23400,43,177
Paul Mitchell the School-Arkansas,AR,2007,0,9,32
Searcy Beauty College,AR,2007,10700,21,50
Williams Baptist College,AR,2007,33100,26,219
South Arkansas Community College,AR,2007,29700,49,263
Southern Arkansas University Main Campus,AR,2007,35100,112,784
Southern Arkansas University Tech,AR,2007,26400,20,166
University of Arkansas-Fort Smith,AR,2007,30100,206,999
Academy of Art University,CA,2007,43200,288,1375
ITT Technical Institute-Rancho Cordova,CA,2007,50100,134,795
The Academy of Radio and TV Broadcasting,CA,2007,30700,63,313
Avalon School of Cosmetology-Alameda,CA,2007,0,0,0
College of Alameda,CA,2007,34700,140,543
Allan Hancock College,CA,2007,31100,186,837
American Academy of Dramatic Arts-Los Angeles,CA,2007,32600,32,137
American Beauty College,CA,2007,0,13,30
American InterContinental University,CA,2007,37700,166,896
American Career College-Los Angeles,CA,2007,35400,208,1130
American Conservatory Theater,CA,2007,0,0,0
American River College,CA,2007,33700,478,1777
