INSTNM,STABBR,year,earnings_med,count_not_working,count_working
The Art Institute of Washington-Dulles,VA,2009,29900,329,1575
Paul Mitchell the School-Memphis,TN,2009,13000,23,56
Pima Medical Institute-East Valley,AZ,2009,29200,731,2647
Virginia College-Charleston,SC,2009,29300,371,1389
Stautzenberger Institute-Allen Park,MI,2009,33100,100,403
Empire Beauty School-Lauderhill,FL,2009,21900,49,172
Empire Beauty School-Spring Lake Park,MN,2009,24100,7,50
Fortis College-Phoenix,AZ,2009,25900,180,557
Miller-Motte College-Raleigh,NC,2009,18200,58,228
Lamson Institute,TX,2009,36000,200,623
Euphoria Institute of Beauty Arts & Sciences-Las Vegas,NV,2009,32700,89,223
Lincoln College of Technology-Toledo,OH,2009,17700,211,681
College of Hair Design-East Campus,NE,2009,18500,22,141
Sanford-Brown College-Online,FL,2009,27300,180,624
Le Cordon Bleu College of Culiry Arts-St Louis,MO,2009,28900,14,121
Sanford-Brown College-San Antonio,TX,2009,34100,219,960
Heritage College-Wichita,KS,2009,24700,74,223
Heritage College-Little Rock,AR,2009,0,7,18
Argosy University-Phoenix Online Division,AZ,2009,45700,27,120
MedTech College-Greenwood Campus,IN,2009,29500,46,167
MedTech College-Ft Wayne Campus,IN,2009,29500,46,167
MedTech College-Lexington Campus,KY,2009,29500,46,167
Kaplan University-Frederick Campus,MD,2009,33700,209,1658
ITT Technical Institute-Madison,MS,2009,35800,88,519
ITT Technical Institute-Springfield,MO,2009,35500,220,1093
ITT Technical Institute-Huntington,WV,2009,43700,145,823
ITT Technical Institute-Concord,CA,2009,37100,168,713
ITT Technical Institute-Fort Myers,FL,2009,42800,125,740
ITT Technical Institute-Charlotte North,NC,2009,43100,149,872
Fortis College-Salt Lake City,UT,2009,26400,94,298
Polytechnic University of Puerto Rico-Miami,FL,2009,24700,448,1075
Polytechnic University of Puerto Rico-Orlando,FL,2009,24700,448,1075
Ross Medical Education Center-Fort Wayne,IN,2009,24400,42,160
Ross Medical Education Center-Portage,MI,2009,21700,115,394
Josef's West Academy,ND,2009,0,10,42
Northeast Technology Center-Claremore,OK,2009,23300,56,176
Salon Success Academy-Fonta,CA,2009,0,0,0
Salon Success Academy-Redlands,CA,2009,0,0,0
Rasmussen College-Romeoville,IL,2009,32900,77,630
Brown Mackie College-Phoenix,AZ,2009,26700,122,463
Regency Beauty Institute-Tinley Park,IL,2009,21500,46,213
Regency Beauty Institute-Columbia,SC,2009,21500,46,213
Regency Beauty Institute-South Bend,IN,2009,21500,46,213
Regency Beauty Institute-Detroit Lakeside,MI,2009,21500,46,213
Regency Beauty Institute-Fort Myers,FL,2009,21500,46,213
Regency Beauty Institute-Arlington,TX,2009,21500,46,213
Regency Beauty Institute-Durham,NC,2009,21500,46,213
Minnesota School of Business-Elk River,MN,2009,36500,213,1252
Brown Mackie College-Greenville,SC,2009,26700,122,463
Globe University-Sioux Falls,SD,2009,35000,103,590
Globe University-Eau Claire,WI,2009,35000,103,590
Vanguard College of Cosmetology-Baton Rouge,LA,2009,20100,21,55
Globe University-Minneapolis,MN,2009,35000,103,590
San Joaquin Valley College-Hesperia,CA,2009,30100,577,2187
Beauty Schools of America-Homestead,FL,2009,14000,473,956
ATI Career Training Center-Waco,TX,2009,33500,114,366
ATI Career Training Center-Oklahoma City,OK,2009,30500,134,573
ATI Career Training Center-Oklahoma City,OK,2009,30500,134,573
ATI Career Training Center-Houston,TX,2009,30500,134,573
ATI Career Training Center-Dallas,TX,2009,31600,174,802
South Texas Vocatiol Technical Institute-Brownsville,TX,2009,22800,67,500
South Texas Vocatiol Technical Institute-Corpus Christi,TX,2009,23000,101,465
L'Ecole Culiire-Memphis,TN,2009,32800,92,499
University of Minnesota-Rochester,MN,2009,47900,666,7215
College of Business and Technology-Cutler Bay,FL,2009,21800,75,201
Provo College-American Fork,UT,2009,25000,127,455
American tiol University-Columbus,OH,2009,23200,259,1160
Kaplan Career Institute-Boston,MA,2009,35700,31,104
Herzing University-Toledo,OH,2009,43800,38,384
Capri Beauty College,IL,2009,21400,32,131
Milan Institute-Bakersfield,CA,2009,0,0,0
Chamberlain University-Florida,FL,2009,56600,4,98
Remington College-Columbia Campus,SC,2009,29900,370,1958
InterCoast Colleges-Rancho Cordova,CA,2009,26700,97,341
Alabama A & M University,AL,2011,31400,214,1532
University of Alabama at Birmingham,AL,2011,40300,365,2661
Amridge University,AL,2011,38100,46,170
University of Alabama in Huntsville,AL,2011,46600,178,1135
Alabama State University,AL,2011,27800,309,1846
The University of Alabama,AL,2011,42400,397,3602
Central Alabama Community College,AL,2011,27100,152,698
Athens State University,AL,2011,39700,116,777
Auburn University at Montgomery,AL,2011,34800,201,1226
Auburn University,AL,2011,45400,445,4216
Birmingham Southern College,AL,2011,41900,22,259
Chattahoochee Valley Community College,AL,2011,27700,153,630
Concordia College Alabama,AL,2011,21300,122,434
South University-Montgomery,AL,2011,29800,266,1166
Enterprise State Community College,AL,2011,26300,142,634
Coastal Alabama Community College,AL,2011,28900,240,1122
Faulkner University,AL,2011,37600,226,1306
Gadsden State Community College,AL,2011,26900,410,1385
George C Wallace Community College-Dothan,AL,2011,27100,454,1617
George C Wallace State Community College-Hanceville,AL,2011,27800,404,1424
George C Wallace State Community College-Selma,AL,2011,24400,205,739
Herzing University-Birmingham,AL,2011,42300,49,418
Huntingdon College,AL,2011,37100,22,223
Heritage Christian University,AL,2011,32700,14,55
J. F. Drake State Community and Technical College,AL,2011,23500,97,320
Jacksonville State University,AL,2011,35100,359,2314
Jefferson Davis Community College,AL,2011,27200,120,515
Jefferson State Community College,AL,2011,30300,356,1418
John C Calhoun State Community College,AL,2011,27200,556,2354
Judson College,AL,2011,30700,33,133
Lawson State Community College-Birmingham Campus,AL,2011,22300,259,990
University of West Alabama,AL,2011,33800,73,626
Lurleen B Wallace Community College,AL,2011,28000,64,346
Marion Military Institute,AL,2011,48500,10,89
Miles College,AL,2011,27200,130,712
University of Mobile,AL,2011,37800,111,720
University of Montevallo,AL,2011,35100,94,717
Northwest-Shoals Community College,AL,2011,26300,424,1746
University of North Alabama,AL,2011,36300,189,1396
Northeast Alabama Community College,AL,2011,28700,184,705
Oakwood University,AL,2011,33700,68,453
Alabama Southern Community College,AL,2011,23200,183,609
Prince Institute-Southeast,IL,2011,29000,16,52
Reid State Technical College,AL,2011,20100,158,444
Bishop State Community College,AL,2011,22600,513,1872
Samford University,AL,2011,45800,102,780
Shelton State Community College,AL,2011,24300,440,1710
Snead State Community College,AL,2011,26000,166,555
University of South Alabama,AL,2011,38300,416,2808
Spring Hill College,AL,2011,43800,44,384
Southeastern Bible College,AL,2011,28800,17,85
Stillman College,AL,2011,24700,114,658
Talladega College,AL,2011,25600,48,208
H Councill Trenholm State Community College,AL,2011,21000,119,335
Troy University,AL,2011,36600,528,3106
Tuskegee University,AL,2011,37100,79,841
United States Sports Academy,AL,2011,0,1,25
Bevill State Community College,AL,2011,25900,540,1519
University of Alaska Anchorage,AK,2011,42000,456,2037
University of Alaska Fairbanks,AK,2011,38200,215,1060
University of Alaska Southeast,AK,2011,39500,74,305
Alaska Pacific University,AK,2011,47400,21,144
AVTEC-Alaska's Institute of Technology,AK,2011,30100,33,86
Charter College,WA,2011,42000,91,333
Prince William Sound Community College,AK,2011,42000,456,2037
Alaska Career College,AK,2011,30900,112,286
Everest College-Phoenix,AZ,2011,28300,108,333
Collins College,AZ,2011,25200,335,1309
Empire Beauty School-Paradise Valley,AZ,2011,19300,41,101
Empire Beauty School-Tucson,AZ,2011,16400,86,248
Thunderbird School of Global Magement,AZ,2011,0,17,49
American Indian College Inc,AZ,2011,0,8,34
American Institute of Trucking,AZ,2011,30700,225,608
Carrington College-Phoenix North,AZ,2011,26200,488,1549
Carrington College-Mesa,AZ,2011,26200,488,1549
Carrington College-Tucson,AZ,2011,26200,488,1549
CollegeAmerica-Flagstaff,AZ,2011,0,12,43
Arizo Academy of Beauty-East,AZ,2011,17600,31,82
Arizo Automotive Institute,AZ,2011,33900,148,573
Brookline College-Phoenix,AZ,2011,22300,700,1975
Arizo State University-Tempe,AZ,2011,45200,1533,10943
Arizo Western College,AZ,2011,25600,403,1767
University of Arizo,AZ,2011,44400,808,6013
Southwest University of Visual Arts-Tucson,AZ,2011,27500,89,342
Brillare Hairdressing Academy,AZ,2011,19900,29,91
Central Arizo College,AZ,2011,28700,276,920
Brown Mackie College-Tucson,AZ,2011,25200,87,422
Charles of Italy Beauty College,AZ,2011,16500,38,67
Cochise County Community College District,AZ,2011,31200,381,1220
Empire Beauty School-Flagstaff,AZ,2011,16900,84,178
Empire Beauty School-Chandler,AZ,2011,16900,84,178
Cortiva Institute-Tucson,AZ,2011,21800,39,157
DeVry University-Arizo,AZ,2011,46500,2518,17874
Avalon School of Cosmetology-Mesa,AZ,2011,17900,51,103
Eastern Arizo College,AZ,2011,27800,315,819
Embry-Riddle Aeroutical University-Prescott,AZ,2011,60900,250,3088
Glendale Community College,AZ,2011,33300,715,2725
Grand Canyon University,AZ,2011,45200,83,566
Anthem College-Phoenix,AZ,2011,29500,824,3651
Olympian Academy of Cosmetology,AZ,2011,20100,22,65
Lamson College,AZ,2011,29800,44,153
Kaplan College-Phoenix,AZ,2011,26300,137,467
Maricopa Beauty College LLC,AZ,2011,0,12,49
GateWay Community College,AZ,2011,29800,557,1474
Mesa Community College,AZ,2011,36000,750,3353
ITT Technical Institute-Tucson,AZ,2011,38400,551,3365
ITT Technical Institute-Tempe,AZ,2011,38400,551,3365
Mohave Community College,AZ,2011,26700,179,434
Universal Technical Institute of Arizo Inc-Motorcycle Mechanics Institute Division,AZ,2011,33800,873,3060
Dine College,AZ,2011,22500,234,669
Northern Arizo University,AZ,2011,38800,582,4270
Northland Pioneer College,AZ,2011,22100,209,567
Ottawa University-Phoenix,AZ,2011,40700,149,1201
Phoenix College,AZ,2011,32500,562,2047
Cortiva Institute-Scottsdale,AZ,2011,25400,90,348
University of Phoenix-Phoenix Campus,AZ,2011,53400,8072,55613
Pima Community College,AZ,2011,30100,1437,5079
Pima Medical Institute-Tucson,AZ,2011,27600,1041,3513
Pima Medical Institute-Albuquerque,NM,2011,27600,1041,3513
Prescott College,AZ,2011,35200,71,406
Refrigeration School Inc,AZ,2011,37700,96,382
Rio Salado College,AZ,2011,36600,292,810
Roberto-Venn School of Luthiery,AZ,2011,23000,13,53
Hair Academy of Safford,AZ,2011,12600,28,55
Scottsdale Community College,AZ,2011,35700,336,1353
South Mountain Community College,AZ,2011,27100,173,627
Arizo Christian University,AZ,2011,31000,31,133
Tucson College,AZ,2011,24100,111,272
Universal Technical Institute of Arizo Inc,AZ,2011,43400,719,6059
Western Intertiol University,AZ,2011,52600,70,483
Empire Beauty School-NW Phoenix,AZ,2011,19200,41,93
Yavapai College,AZ,2011,28200,304,781
University of Arkansas at Little Rock,AR,2011,34800,440,2480
University of Arkansas for Medical Sciences,AR,2011,62400,31,520
ABC Beauty College Inc,AR,2011,0,11,41
Arkansas Baptist College,AR,2011,21100,25,116
Arkansas Beauty School-Little Rock,AR,2011,0,14,37
Lyon College,AR,2011,37200,17,187
Arkansas College of Barbering and Hair Design,AR,2011,16900,26,51
Arthur's Beauty College Inc-Fort Smith,AR,2011,15000,34,91
University of Arkansas,AR,2011,43600,423,3038
University of Arkansas at Pine Bluff,AR,2011,27400,142,1042
Arkansas State University-Beebe,AR,2011,0,0,0
Arkansas State University-Main Campus,AR,2011,32700,821,4348
Arkansas Tech University,AR,2011,35000,258,1782
University of Arkansas at Monticello,AR,2011,33600,143,895
Arthur's Beauty College Inc-Jacksonville,AR,2011,15400,42,110
Baptist Health College-Little Rock,AR,2011,42100,31,253
Black River Technical College,AR,2011,26600,163,629
University of Central Arkansas,AR,2011,37100,328,2267
Central Baptist College,AR,2011,35700,24,174
Cossatot Community College of the University of Arkansas,AR,2011,21000,78,245
Crowley's Ridge College,AR,2011,31100,16,92
Crowley's Ridge Technical Institute,AR,2011,20200,60,172
East Arkansas Community College,AR,2011,23100,123,526
Eastern College of Health Vocations-Little Rock,AR,2011,19700,176,513
Imagine-Paul Mitchell Partner School,AR,2011,0,14,27
tiol Park College,AR,2011,25000,170,707
University of Arkansas Community College-Batesville,AR,2011,23900,133,501
Harding University,AR,2011,38600,182,1302
Henderson State University,AR,2011,35200,130,1185
Hendrix College,AR,2011,40500,27,269
Hot Springs Beauty College,AR,2011,14000,35,95
Jefferson Regiol Medical Center School of Nursing,AR,2011,0,1,44
John Brown University,AR,2011,46200,100,622
Lees School of Cosmetology,AR,2011,0,14,46
Career Academy of Hair Design,AR,2011,0,21,43
Marsha Kay Beauty College,AR,2011,0,0,0
Academy of Salon and Spa,AR,2011,0,12,27
Arkansas State University Mid-South,AR,2011,21800,90,357
Arkansas Northeastern College,AR,2011,22500,215,745
Margaret's Hair Academy Inc,AR,2011,0,10,17
New Tyler Barber College Inc,AR,2011,13400,17,71
North Arkansas College,AR,2011,25500,235,720
Northwest Technical Institute,AR,2011,27800,67,140
Ouachita Baptist University,AR,2011,37500,63,438
College of the Ouachitas,AR,2011,24100,84,308
Ozarka College,AR,2011,25200,125,311
University of the Ozarks,AR,2011,31100,32,222
University of Arkansas Community College-Morrilton,AR,2011,25600,157,592
Philander Smith College,AR,2011,26200,54,296
Phillips Community College of the University of Arkansas,AR,2011,21200,206,634
Southeast Arkansas College,AR,2011,26700,143,597
Professiol Cosmetology Education Center,AR,2011,0,22,48
University of Arkansas-Pulaski Technical College,AR,2011,28700,333,1280
University of Arkansas Community College-Hope,AR,2011,23000,101,510
University of Arkansas Community College Rich Mountain,AR,2011,21300,106,300
Paul Mitchell the School-Arkansas,AR,2011,0,17,44
Searcy Beauty College,AR,2011,11100,29,72
Williams Baptist College,AR,2011,32300,38,265
South Arkansas Community College,AR,2011,26100,69,327
Southern Arkansas University Main Campus,AR,2011,35900,147,991
Southern Arkansas University Tech,AR,2011,26800,67,236
Velvatex College of Beauty Culture,AR,2011,0,0,0
University of Arkansas-Fort Smith,AR,2011,29900,318,1297
Academy of Art University,CA,2011,36100,404,1586
ITT Technical Institute-Rancho Cordova,CA,2011,38400,551,3365
The Academy of Radio and TV Broadcasting,CA,2011,28500,80,263
Avalon School of Cosmetology-Alameda,CA,2011,16200,26,52
College of Alameda,CA,2011,34300,164,558
Allan Hancock College,CA,2011,29500,314,1033
American Academy of Dramatic Arts-Los Angeles,CA,2011,30200,23,122
American Beauty College,CA,2011,0,13,35
American Career College-Los Angeles,CA,2011,29800,421,1872
American Conservatory Theater,CA,2011,0,0,0
American River College,CA,2011,27600,1076,2953
Everest College-Hayward,CA,2011,21400,287,1024
Antelope Valley College,CA,2011,27000,595,1385
Art Center College of Design,CA,2011,51700,129,529
Associated Technical College-Los Angeles,CA,2011,21900,217,491
Associated Technical College-San Diego,CA,2011,19500,226,334
Azusa Pacific University,CA,2011,49000,231,1818
Bakersfield College,CA,2011,29700,789,2672
Barstow Community College,CA,2011,31800,176,543
Bellus Academy-tiol City,CA,2011,14800,49,118
Bethesda University,CA,2011,0,25,17
Biola University,CA,2011,40700,163,1075
Brooks Institute,CA,2011,29100,142,628
Brownson Technical School,CA,2011,0,13,41
Bryan University,AZ,2011,42300,24,75
Butte College,CA,2011,29800,733,2177
California Institute of Integral Studies,CA,2011,0,12,35
Cabrillo College,CA,2011,32100,309,1041
California Baptist University,CA,2011,41800,129,765
California College of the Arts,CA,2011,35700,104,353
California Institute of Technology,CA,2011,74000,23,109
California Lutheran University,CA,2011,52900,65,682
California Polytechnic State University-San Luis Obispo,CA,2011,60900,375,3807
Alliant Intertiol University-San Diego,CA,2011,51800,67,403
California State University-Bakersfield,CA,2011,48100,272,1777
California State University-Stanislaus,CA,2011,44900,263,1960
California State University-San Berrdino,CA,2011,45500,626,3745
California State Polytechnic University-Pomo,CA,2011,52000,471,4208
California State University-Chico,CA,2011,45100,577,4010
California State University-Dominguez Hills,CA,2011,42800,352,2545
California State University-Fresno,CA,2011,43200,598,4435
California State University-Fullerton,CA,2011,46500,856,6106
California State University-East Bay,CA,2011,51300,363,2367
California State University-Long Beach,CA,2011,46900,871,6750
California State University-Los Angeles,CA,2011,44900,567,4078
California State University-Northridge,CA,2011,44200,1056,7191
California State University-Sacramento,CA,2011,46500,847,5967
University of California-Berkeley,CA,2011,62700,740,5325
University of California-Davis,CA,2011,57100,665,5672
University of California-Irvine,CA,2011,55800,582,4486
University of California-Los Angeles,CA,2011,59200,833,6299
University of California-Riverside,CA,2011,48700,547,4117
University of California-San Diego,CA,2011,59600,523,4104
University of California-Santa Barbara,CA,2011,52000,470,4125
University of California-Santa Cruz,CA,2011,44600,374,2626
California Beauty School,CA,2011,0,4,27
California Christian College,CA,2011,0,19,40
California College San Diego,CA,2011,40400,8,52
Le Cordon Bleu College of Culiry Arts-San Francisco,CA,2011,32800,246,963
California Hair Design Academy,CA,2011,16500,68,112
California Institute of the Arts,CA,2011,32500,61,304
California State University Maritime Academy,CA,2011,81100,9,158
Cada College,CA,2011,29300,79,207
College of the Canyons,CA,2011,34200,150,639
Career Academy of Beauty,CA,2011,18400,58,132
Casa Loma College-Van Nuys,CA,2011,47400,49,262
CET-San Diego,CA,2011,21600,644,1853
CET-San Jose,CA,2011,21600,644,1853
CET-El Centro,CA,2011,21600,644,1853
CET-Colton,CA,2011,21600,644,1853
CET-Watsonville,CA,2011,21600,644,1853
CET-Gilroy,CA,2011,21600,644,1853
CET-Salis,CA,2011,21600,644,1853
Cerritos College,CA,2011,31400,792,3439
Cerro Coso Community College,CA,2011,24900,330,584
Chabot College,CA,2011,32900,400,1280
Chaffey College,CA,2011,28100,486,1763
Chapman University,CA,2011,51800,353,2953
Charles R Drew University of Medicine and Science,CA,2011,63000,37,137
Concordia University-Irvine,CA,2011,42100,66,433
San Diego Christian College,CA,2011,34400,57,263
Citrus College,CA,2011,29100,374,1403
City College of San Francisco,CA,2011,36900,922,3092
Claremont McKen College,CA,2011,63600,28,214
Milan Institute-Visalia,CA,2011,23400,303,803
Clovis Adult Education,CA,2011,33000,38,126
Coastline Community College,CA,2011,30500,108,237
Cogswell College,CA,2011,48500,12,95
Coleman University,CA,2011,49200,202,1019
Coba Academy,CA,2011,0,0,0
Columbia College,CA,2011,23000,155,315
Columbia College Hollywood,CA,2011,0,7,38
El Camino College-Compton Center,CA,2011,30200,484,1940
Western Beauty Institute,CA,2011,16600,149,287
Contra Costa College,CA,2011,29000,239,615
Cosumnes River College,CA,2011,28000,493,1308
Crafton Hills College,CA,2011,30500,194,610
Cuesta College,CA,2011,32900,334,1167
Cuyamaca College,CA,2011,26800,217,544
Marinello Schools of Beauty-Bell,CA,2011,15800,123,288
Cypress College,CA,2011,33000,498,1723
De Anza College,CA,2011,43600,303,1376
Marinello Schools of Beauty-Hemet,CA,2011,13200,26,58
Dell'Arte Intertiol School of Physical Theatre,CA,2011,0,0,26
College of the Desert,CA,2011,29700,337,1179
Design Institute of San Diego,CA,2011,33900,62,152
DeVry University-California,CA,2011,46500,2518,17874
Diablo Valley College,CA,2011,38300,263,840
Dominican University of California,CA,2011,51400,67,454
East Los Angeles College,CA,2011,31600,545,2701
Marinello Schools of Beauty-Santa Clara,CA,2011,0,7,27
San Diego Continuing Education,CA,2011,20900,68,82
El Camino Community College District,CA,2011,30200,484,1940
Elegance Intertiol,CA,2011,0,11,37
Marinello Schools of Beauty-City of Industry,CA,2011,0,13,48
Marinello Schools of Beauty-Burbank,CA,2011,12600,27,56
Marinello Schools of Beauty-Moreno Valley,CA,2011,11700,44,84
Empire College,CA,2011,34500,170,500
Evergreen Valley College,CA,2011,32700,251,966
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,CA,2011,34500,612,2687
Fashion Careers College,CA,2011,30400,14,83
FIDM-Fashion Institute of Design & Merchandising-San Francisco,CA,2011,34500,612,2687
FIDM-Fashion Institute of Design & Merchandising-Orange County,CA,2011,34500,612,2687
Feather River Community College District,CA,2011,26900,47,157
Federico Beauty Institute,CA,2011,21000,73,170
Foothill College,CA,2011,47600,119,425
Fredrick and Charles Beauty College,CA,2011,0,15,25
Fresno City College,CA,2011,26000,1677,5376
Fresno Pacific University,CA,2011,39700,86,602
Fullerton College,CA,2011,32700,469,1789
Galen College of Medical and Dental Assistants,CA,2011,23500,227,588
Gavilan College,CA,2011,26900,121,438
Gemological Institute of America-Carlsbad,CA,2011,38800,50,150
Glendale Community College,CA,2011,30800,773,2947
Glendale Career College,CA,2011,27800,377,1169
Golden Gate University-San Francisco,CA,2011,64200,45,209
Golden West College,CA,2011,31700,462,1521
Grossmont College,CA,2011,32300,556,1875
Salon Success Academy-Riverside,CA,2011,12200,17,50
Hartnell College,CA,2011,29500,252,1104
Harvey Mudd College,CA,2011,78600,25,166
Heald College-Rancho Cordova,CA,2011,35200,212,787
Heald College-Fresno,CA,2011,30100,202,745
Heald College-San Jose,CA,2011,42100,231,1114
Heald College-San Francisco,CA,2011,37400,448,2278
Heald College-Concord,CA,2011,40000,223,967
Hilltop Beauty School,CA,2011,17200,36,90
Holy mes University,CA,2011,50100,30,218
Humboldt State University,CA,2011,36200,362,1861
Humphreys University-Stockton and Modesto Campuses,CA,2011,31300,144,338
Imperial Valley College,CA,2011,24500,387,1614
Institute for Business and Technology,CA,2011,35500,215,641
LA College Intertiol,CA,2011,32000,36,139
Interior Designers Institute,CA,2011,25200,27,65
Toni & Guy Hairdressing Academy-Santa Monica,CA,2011,0,26,44
Irvine Valley College,CA,2011,35200,212,591
ITT Technical Institute-tiol City,CA,2011,38400,551,3365
ITT Technical Institute-San Dimas,CA,2011,38400,551,3365
ITT Technical Institute-Orange,CA,2011,38400,551,3365
Bellus Academy-El Cajon,CA,2011,17000,82,180
John F. Kennedy University,CA,2011,39500,15,69
American Jewish University,CA,2011,0,10,26
Reedley College,CA,2011,25200,778,2722
Life Pacific College,CA,2011,31200,34,147
Argosy University-The Art Institute of California-San Diego,CA,2011,38200,158,1035
University of La Verne,CA,2011,52700,217,1548
Lagu College of Art and Design,CA,2011,39800,19,85
Lake Tahoe Community College,CA,2011,28400,48,179
Lancaster Beauty School,CA,2011,15700,61,130
Laney College,CA,2011,27600,449,1136
Lassen Community College,CA,2011,25300,161,269
Southern California Semiry,CA,2011,0,8,31
La Sierra University,CA,2011,41300,79,489
Loma Linda University,CA,2011,72800,63,594
Long Beach City College,CA,2011,27800,1553,4718
Southern California University of Health Sciences,CA,2011,0,0,0
Los Angeles Harbor College,CA,2011,29700,372,1347
Los Angeles Pierce College,CA,2011,33600,482,1523
Los Angeles Southwest College,CA,2011,25900,349,1112
Los Angeles Trade Technical College,CA,2011,26500,644,1893
Los Angeles Valley College,CA,2011,30600,529,1895
The Master's University and Semiry,CA,2011,40900,104,445
Los Angeles City College,CA,2011,25600,1039,2311
Los Angeles County College of Nursing and Allied Health,CA,2011,85800,6,124
Los Angeles Mission College,CA,2011,28900,358,1185
Los Medanos College,CA,2011,34300,205,532
Argosy University-The Art Institute of California-San Francisco,CA,2011,38200,158,1035
Loyola Marymount University,CA,2011,55600,160,1576
Manchester Beauty College,CA,2011,18200,33,90
Tulare Beauty College,CA,2011,0,17,32
Lyle's College of  Beauty,CA,2011,17300,67,170
Lytles Redwood Empire Beauty College Inc,CA,2011,16700,21,56
MTI Business College Inc,CA,2011,25200,107,202
MTI College,CA,2011,38500,211,730
Brightwood College-Sacramento,CA,2011,26900,97,276
Brightwood College-San Diego,CA,2011,35300,219,951
Brightwood College-Vista,CA,2011,32600,189,774
College of Marin,CA,2011,32300,219,605
Marinello Schools of Beauty-Los Angeles,CA,2011,14000,243,579
Marymount California University,CA,2011,32600,42,157
Mendocino College,CA,2011,23500,202,432
Menlo College,CA,2011,50600,41,292
Merced College,CA,2011,26100,608,1732
Merritt College,CA,2011,28500,227,596
Mills College,CA,2011,39000,52,286
MiraCosta College,CA,2011,29500,176,631
Marinello Schools of Beauty-San Francisco,CA,2011,25700,43,108
Mission College,CA,2011,32800,149,540
Modern Beauty Academy,CA,2011,15900,21,63
Brightwood College-Los Angeles-Van Nuys,CA,2011,35000,127,583
Modesto Junior College,CA,2011,27500,643,1975
Moler Barber College,CA,2011,0,17,13
Middlebury Institute of Intertiol Studies at Monterey,CA,2011,53400,28,344
Monterey Peninsula College,CA,2011,34100,195,436
Moorpark College,CA,2011,38500,157,626
Mt San Antonio College,CA,2011,33800,504,2294
Mount Saint Mary's University,CA,2011,50200,83,758
Mt San Jacinto Community College District,CA,2011,26500,673,1558
Musicians Institute,CA,2011,26100,111,333
pa Valley College,CA,2011,34300,159,465
Everest College-San Francisco,CA,2011,31300,291,969
Everest College-Reseda,CA,2011,29500,212,843
Everest College-LA Wilshire,CA,2011,25800,215,735
Everest College-San Jose,CA,2011,32000,235,827
Everest College-Garde,CA,2011,26700,298,1062
Everest College-Alhambra,CA,2011,26100,383,1198
Everest College-San Berrdino,CA,2011,24500,344,911
The tiol Hispanic University,CA,2011,42900,16,132
tiol Holistic Institute,CA,2011,27200,128,434
tiol University,CA,2011,54800,464,3390
Newschool of Architecture and Design,CA,2011,0,13,41
Newberry School of Beauty,CA,2011,23300,22,92
North Adrian's College of Beauty Inc,CA,2011,14600,18,52
North-West College-Pomo,CA,2011,21700,102,315
North-West College-West Covi,CA,2011,26800,209,630
North-West College-Pasade,CA,2011,26800,55,144
Notre Dame de mur University,CA,2011,51300,70,391
Occidental College,CA,2011,50100,57,409
Ohlone College,CA,2011,39000,146,465
Orange Coast College,CA,2011,34800,552,2036
Otis College of Art and Design,CA,2011,42000,73,336
Oxrd College,CA,2011,29100,257,976
Hope Intertiol University,CA,2011,35100,81,404
Concorde Career College-San Diego,CA,2011,25700,172,447
Pacific Oaks College,CA,2011,39700,24,119
Pacific States University,CA,2011,0,0,0
Pacific Union College,CA,2011,48600,86,555
University of the Pacific,CA,2011,66400,147,1465
Palo Verde College,CA,2011,26500,56,163
Palomar College,CA,2011,31700,319,970
Marinello Schools of Beauty-Paramount,CA,2011,0,22,43
Paris Beauty College,CA,2011,18400,18,50
Pasade City College,CA,2011,33500,751,3318
Patten University,CA,2011,28900,92,192
Pepperdine University,CA,2011,61400,147,903
Pitzer College,CA,2011,45300,25,173
Platt College-San Diego,CA,2011,35300,70,278
Point Loma zarene University,CA,2011,50300,116,917
Pomo College,CA,2011,52600,21,200
Porterville College,CA,2011,26100,287,946
Westwood College-South Bay,CA,2011,34200,14,64
Professiol Institute of Beauty,CA,2011,14300,48,70
Santa A College,CA,2011,32400,431,1664
University of Redlands,CA,2011,53800,151,1231
College of the Redwoods,CA,2011,25300,608,1320
Salon Success Academy-Upland,CA,2011,0,0,0
Salon Success Academy-Coro,CA,2011,0,0,0
Rio Hondo College,CA,2011,32000,435,2168
Riverside City College,CA,2011,30000,1037,3522
Argosy University-San Francisco Bay Area,CA,2011,38200,158,1035
Rosemead Beauty School,CA,2011,12200,83,184
Sacramento City College,CA,2011,31000,744,2295
Saddleback College,CA,2011,33900,202,712
Samuel Merritt University,CA,2011,111500,14,213
San Diego City College,CA,2011,27000,911,2099
Golf Academy of America-San Diego,CA,2011,26400,836,3192
San Diego Mesa College,CA,2011,34900,611,2280
San Diego Miramar College,CA,2011,36900,141,545
San Diego State University,CA,2011,48700,841,7110
University of San Diego,CA,2011,56300,143,1270
San Francisco Art Institute,CA,2011,24600,58,197
San Francisco Conservatory of Music,CA,2011,0,12,37
San Francisco State University,CA,2011,46900,884,5537
University of San Francisco,CA,2011,61000,197,1406
San Joaquin Delta College,CA,2011,29400,1020,2895
San Joaquin Valley College-Visalia,CA,2011,26900,637,2158
San Joaquin Valley College-Bakersfield,CA,2011,26900,637,2158
William Jessup University,CA,2011,38600,40,164
San Jose City College,CA,2011,29900,234,630
San Jose State University,CA,2011,54600,656,4577
College of San Mateo,CA,2011,39900,130,444
